time	serving_cell_id	ue_id	distance_to_cell(m)	throughput(Mb/s)	sc_power(dBm)	rsrp(dBm)	noise_power(dBm)	sinr(dB)	cqi	mcs
0.0	0	4099	241.38776779514214	-inf	10.0	-inf	-118.0			
0.0	0	2056	137.6821583118707	-inf	10.0	-inf	-118.0			
0.0	0	2065	276.76655341431916	-inf	10.0	-inf	-118.0			
0.0	0	20	133.23424519747607	-inf	10.0	-inf	-118.0			
0.0	0	8212	161.03500547064908	-inf	10.0	-inf	-118.0			
0.0	0	8213	229.6992830351497	-inf	10.0	-inf	-118.0			
0.0	0	4120	69.94055486588688	-inf	10.0	-inf	-118.0			
0.0	0	26	118.5324788273154	-inf	10.0	-inf	-118.0			
0.0	0	2078	252.29195151930685	-inf	10.0	-inf	-118.0			
0.0	0	6175	158.724383905917	-inf	10.0	-inf	-118.0			
0.0	0	6176	144.74999706901036	-inf	10.0	-inf	-118.0			
0.0	0	8225	161.150488588001	-inf	10.0	-inf	-118.0			
0.0	0	8230	204.50395142688504	-inf	10.0	-inf	-118.0			
0.0	0	4142	72.53979546788067	-inf	10.0	-inf	-118.0			
0.0	0	4145	203.61806104506	-inf	10.0	-inf	-118.0			
0.0	0	6201	201.72936360318434	-inf	10.0	-inf	-118.0			
0.0	0	8254	235.95511978507653	-inf	10.0	-inf	-118.0			
0.0	0	4163	161.95171755723823	-inf	10.0	-inf	-118.0			
0.0	0	2119	74.48433238928124	-inf	10.0	-inf	-118.0			
0.0	0	2152	196.91291060429148	-inf	10.0	-inf	-118.0			
0.0	0	4206	157.65501852023428	-inf	10.0	-inf	-118.0			
0.0	0	2166	207.60686808897754	-inf	10.0	-inf	-118.0			
0.0	0	6262	176.37521321993353	-inf	10.0	-inf	-118.0			
0.0	0	2172	107.51400705977551	-inf	10.0	-inf	-118.0			
0.0	0	8321	155.7005276654143	-inf	10.0	-inf	-118.0			
0.0	0	8325	159.99858947131912	-inf	10.0	-inf	-118.0			
