time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	pattern	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
1.000	0	[-500.   -866.03   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	0.000	0.000	1514175.399	0.000	0.000
1.000	1	[   0.   -866.03   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	0.000	0.000	3028350.797	0.000	0.000
1.000	2	[ 500.   -866.03   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	0.000	0.000	4542526.196	0.000	0.000
1.000	3	[-750.   -433.01   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	0.000	0.000	6056701.595	0.000	0.000
1.000	4	[-250.   -433.01   20.  ]	10.000	1	0.000	NaN	49	2	9082000.000	4541000.000	1514175.399	5.998	0.303	9082000.000	4541000.000	7570876.994	5.998	0.020
1.000	5	[ 250.   -433.01   20.  ]	10.000	1	0.000	NaN	49	1	2344000.000	2344000.000	1514175.399	1.548	0.078	11426000.000	6885000.000	9085052.392	7.546	0.007
1.000	6	[ 750.   -433.01   20.  ]	10.000	1	0.000	NaN	49	1	13262000.000	13262000.000	1514175.399	8.759	0.442	24688000.000	20147000.000	10599227.791	16.305	0.030
1.000	7	[-1000.     0.    20.]	10.000	1	0.000	NaN	49	1	2344000.000	2344000.000	1514175.399	1.548	0.078	27032000.000	22491000.000	12113403.190	17.853	0.007
1.000	8	[-500.    0.   20.]	10.000	1	0.000	NaN	49	1	2344000.000	2344000.000	1514175.399	1.548	0.078	29376000.000	24835000.000	13627578.589	19.401	0.006
1.000	9	[ 0.  0. 20.]	10.000	1	0.000	NaN	49	2	12519500.000	6259750.000	1514175.399	8.268	0.417	41895500.000	31094750.000	15141753.987	27.669	0.028
1.000	10	[500.   0.  20.]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	41895500.000	31094750.000	16655929.386	27.669	0.002
1.000	11	[1000.    0.   20.]	10.000	1	0.000	NaN	49	1	2344000.000	2344000.000	1514175.399	1.548	0.078	44239500.000	33438750.000	18170104.785	29.217	0.005
1.000	12	[-750.    433.01   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	44239500.000	33438750.000	19684280.183	29.217	0.000
1.000	13	[-250.    433.01   20.  ]	10.000	1	0.000	NaN	49	1	3066000.000	3066000.000	1514175.399	2.025	0.102	47305500.000	36504750.000	21198455.582	31.242	0.007
1.000	14	[250.   433.01  20.  ]	10.000	1	0.000	NaN	49	1	13262000.000	13262000.000	1514175.399	8.759	0.442	60567500.000	49766750.000	22712630.981	40.000	0.030
1.000	15	[750.   433.01  20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	60567500.000	49766750.000	24226806.380	40.000	0.002
1.000	16	[-500.    866.03   20.  ]	10.000	1	0.000	NaN	49	0	0.000	0.000	1514175.399	0.000	0.000	60567500.000	49766750.000	25740981.778	40.000	0.000
