seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	39	3	3.88233e+06	3.88233e+06	151989	25.5435	0.129411	3.88233e+06	3.88233e+06	151989	25.5435	0.0099547
0	1	1	[   0.   -866.03   20.  ]	10	1	0	39	5	2.46168e+06	2.46168e+06	151989	16.1964	0.082056	6.34401e+06	6.34401e+06	303978	41.74	0.00707775
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	39	5	1.3218e+06	1.3218e+06	151989	8.69668	0.04406	7.66581e+06	7.66581e+06	455967	50.4366	0.00393367
0	1	3	[-750.   -433.01   20.  ]	10	1	0	39	6	1.23697e+06	1.23697e+06	151989	8.13857	0.0412324	8.90279e+06	8.90279e+06	607956	58.5752	0.00347431
0	1	4	[-250.   -433.01   20.  ]	10	1	0	39	8	891109	891109	151989	5.86299	0.0297036	9.79389e+06	9.79389e+06	759945	64.4382	0.00255215
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	39	4	2.49262e+06	2.49262e+06	151989	16.4	0.0830875	1.22865e+07	1.22865e+07	911934	80.8382	0.00658767
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	39	13	828396	828396	151989	5.45037	0.0276132	1.31149e+07	1.31149e+07	1.06392e+06	86.2886	0.00263084
0	1	7	[-1000.     0.    20.]	10	1	0	39	3	5.09333e+06	5.09333e+06	151989	33.5112	0.169778	1.82082e+07	1.82082e+07	1.21591e+06	119.8	0.0132622
0	1	8	[-500.    0.   20.]	10	1	0	39	5	1.1656e+06	1.1656e+06	151989	7.66898	0.0388533	1.93738e+07	1.93738e+07	1.3679e+06	127.469	0.00400889
0	1	9	[ 0.  0. 20.]	10	1	0	39	9	695889	695889	151989	4.57855	0.0231963	2.00697e+07	2.00697e+07	1.51989e+06	132.047	0.00209271
0	1	10	[500.   0.  20.]	10	1	0	39	9	1.03226e+06	1.03226e+06	151989	6.79167	0.0344086	2.1102e+07	2.1102e+07	1.67188e+06	138.839	0.0028078
0	1	11	[1000.    0.   20.]	10	1	0	39	3	3.20756e+06	3.20756e+06	151989	21.1039	0.106919	2.43096e+07	2.43096e+07	1.82387e+06	159.943	0.00844049
0	1	12	[-750.    433.01   20.  ]	10	1	0	39	7	1.81204e+06	1.81204e+06	151989	11.9222	0.0604014	2.61216e+07	2.61216e+07	1.97586e+06	171.865	0.00529553
0	1	13	[-250.    433.01   20.  ]	10	1	0	39	5	1.40776e+06	1.40776e+06	151989	9.26225	0.0469253	2.75294e+07	2.75294e+07	2.12785e+06	181.127	0.00401699
0	1	14	[250.   433.01  20.  ]	10	1	0	39	7	1.03673e+06	1.03673e+06	151989	6.82112	0.0345578	2.85661e+07	2.85661e+07	2.27983e+06	187.948	0.00296729
0	1	15	[750.   433.01  20.  ]	10	1	0	39	2	1.992e+06	1.992e+06	151989	13.1062	0.0664	3.05581e+07	3.05581e+07	2.43182e+06	201.055	0.00533595
0	1	16	[-500.    866.03   20.  ]	10	1	0	39	5	2.51408e+06	2.51408e+06	151989	16.5412	0.0838027	3.30722e+07	3.30722e+07	2.58381e+06	217.596	0.00685682
0	1	17	[  0.   866.03  20.  ]	10	1	0	39	4	2.60494e+06	2.60494e+06	151989	17.139	0.0868313	3.56771e+07	3.56771e+07	2.7358e+06	234.735	0.00720677
0	1	18	[500.   866.03  20.  ]	10	1	0	39	1	4.902e+06	4.902e+06	151989	32.2523	0.1634	4.05791e+07	4.05791e+07	2.88779e+06	266.987	0.0131236
0	2	0	[-500.   -866.03   20.  ]	10	1	0	35	3	3.88233e+06	3.88233e+06	60890	63.7598	0.129411	4.44614e+07	4.44614e+07	2.94868e+06	330.747	0.0109642
0	2	1	[   0.   -866.03   20.  ]	10	1	0	35	5	2.46168e+06	2.46168e+06	60890	40.4283	0.082056	4.69231e+07	4.69231e+07	3.00957e+06	371.175	0.0071554
0	2	2	[ 500.   -866.03   20.  ]	10	1	0	35	5	1.3218e+06	1.3218e+06	60890	21.708	0.04406	4.82449e+07	4.82449e+07	3.07046e+06	392.883	0.00393965
0	2	3	[-750.   -433.01   20.  ]	10	1	0	35	6	1.23697e+06	1.23697e+06	60890	20.3149	0.0412324	4.94819e+07	4.94819e+07	3.13135e+06	413.198	0.00347477
0	2	4	[-250.   -433.01   20.  ]	10	1	0	35	8	891109	891109	60890	14.6347	0.0297036	5.0373e+07	5.0373e+07	3.19224e+06	427.833	0.00255219
0	2	5	[ 250.   -433.01   20.  ]	10	1	0	35	4	2.49262e+06	2.49262e+06	60890	40.9365	0.0830875	5.28656e+07	5.28656e+07	3.25313e+06	468.769	0.00658767
0	2	6	[ 750.   -433.01   20.  ]	10	1	0	35	13	828396	828396	60890	13.6048	0.0276132	5.3694e+07	5.3694e+07	3.31402e+06	482.374	0.00263084
0	2	7	[-1000.     0.    20.]	10	1	0	35	3	5.09333e+06	5.09333e+06	60890	83.6481	0.169778	5.87874e+07	5.87874e+07	3.37491e+06	566.022	0.0132622
0	2	8	[-500.    0.   20.]	10	1	0	35	5	1.1656e+06	1.1656e+06	60890	19.1427	0.0388533	5.9953e+07	5.9953e+07	3.4358e+06	585.165	0.00400889
0	2	9	[ 0.  0. 20.]	10	1	0	35	9	695889	695889	60890	11.4286	0.0231963	6.06488e+07	6.06488e+07	3.49669e+06	596.594	0.00209271
0	2	10	[500.   0.  20.]	10	1	0	35	9	1.03226e+06	1.03226e+06	60890	16.9528	0.0344086	6.16811e+07	6.16811e+07	3.55758e+06	613.546	0.0028078
0	2	11	[1000.    0.   20.]	10	1	0	35	3	3.20756e+06	3.20756e+06	60890	52.6778	0.106919	6.48887e+07	6.48887e+07	3.61847e+06	666.224	0.00844049
0	2	12	[-750.    433.01   20.  ]	10	1	0	35	7	1.81204e+06	1.81204e+06	60890	29.7592	0.0604014	6.67007e+07	6.67007e+07	3.67936e+06	695.983	0.00529553
0	2	13	[-250.    433.01   20.  ]	10	1	0	35	5	1.40776e+06	1.40776e+06	60890	23.1197	0.0469253	6.81085e+07	6.81085e+07	3.74025e+06	719.103	0.00401699
