seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	47	23	1.03617e+07	450509	955614	10.843	0.34539	1.03617e+07	450509	955614	10.843	0.034539
0	1	1	[   0.   -866.03   20.  ]	10	1	0	47	62	8.56852e+06	138202	955614	8.9665	0.285617	1.89302e+07	588710	1.91123e+06	19.8095	0.0320156
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	47	31	9.89529e+06	319203	955614	10.3549	0.329843	2.88255e+07	907913	2.86684e+06	30.1644	0.0361859
0	1	3	[-750.   -433.01   20.  ]	10	1	0	47	59	9.98347e+06	169211	955614	10.4472	0.332782	3.8809e+07	1.07712e+06	3.82246e+06	40.6115	0.0368968
0	1	4	[-250.   -433.01   20.  ]	10	1	0	47	72	7.21297e+06	100180	955614	7.54799	0.240432	4.60219e+07	1.1773e+06	4.77807e+06	48.1595	0.0277329
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	47	89	8.22349e+06	92398.8	955614	8.60545	0.274116	5.42454e+07	1.2697e+06	5.73369e+06	56.765	0.0301849
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	47	49	1.00677e+07	205462	955614	10.5353	0.335588	6.43131e+07	1.47517e+06	6.6893e+06	67.3003	0.0365773
0	1	7	[-1000.     0.    20.]	10	1	0	47	18	7.28833e+06	404907	955614	7.62686	0.242944	7.16014e+07	1.88007e+06	7.64492e+06	74.9271	0.0279522
0	1	8	[-500.    0.   20.]	10	1	0	47	81	7.38069e+06	91119.6	955614	7.7235	0.246023	7.89821e+07	1.97119e+06	8.60053e+06	82.6506	0.0273975
0	1	9	[ 0.  0. 20.]	10	1	0	47	85	6.92668e+06	81490.4	955614	7.24841	0.230889	8.59088e+07	2.05268e+06	9.55614e+06	89.899	0.0258287
0	1	10	[500.   0.  20.]	10	1	0	47	60	6.73598e+06	112266	955614	7.04885	0.224533	9.26448e+07	2.16495e+06	1.05118e+07	96.9479	0.0250361
0	1	11	[1000.    0.   20.]	10	1	0	47	44	1.02574e+07	233123	955614	10.7338	0.341914	1.02902e+08	2.39807e+06	1.14674e+07	107.682	0.036695
