time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	pattern	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
1.00	0	[-500.   -866.03   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	0.00	0.00	603186.23	0.00	0.00
1.00	1	[   0.   -866.03   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	0.00	0.00	1206372.45	0.00	0.00
1.00	2	[ 500.   -866.03   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	0.00	0.00	1809558.68	0.00	0.00
1.00	3	[-750.   -433.01   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	0.00	0.00	2412744.90	0.00	0.00
1.00	4	[-250.   -433.01   20.  ]	10.00	1	0.00	NaN	45	2	9082000.00	4541000.00	603186.23	15.06	0.30	9082000.00	4541000.00	3015931.13	15.06	0.02
1.00	5	[ 250.   -433.01   20.  ]	10.00	1	0.00	NaN	45	1	2344000.00	2344000.00	603186.23	3.89	0.08	11426000.00	6885000.00	3619117.35	18.94	0.01
1.00	6	[ 750.   -433.01   20.  ]	10.00	1	0.00	NaN	45	1	13262000.00	13262000.00	603186.23	21.99	0.44	24688000.00	20147000.00	4222303.58	40.93	0.03
1.00	7	[-1000.     0.    20.]	10.00	1	0.00	NaN	45	1	2344000.00	2344000.00	603186.23	3.89	0.08	27032000.00	22491000.00	4825489.81	44.82	0.01
1.00	8	[-500.    0.   20.]	10.00	1	0.00	NaN	45	1	2344000.00	2344000.00	603186.23	3.89	0.08	29376000.00	24835000.00	5428676.03	48.70	0.01
1.00	9	[ 0.  0. 20.]	10.00	1	0.00	NaN	45	2	12519500.00	6259750.00	603186.23	20.76	0.42	41895500.00	31094750.00	6031862.26	69.46	0.03
1.00	10	[500.   0.  20.]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	41895500.00	31094750.00	6635048.48	69.46	0.00
1.00	11	[1000.    0.   20.]	10.00	1	0.00	NaN	45	1	2344000.00	2344000.00	603186.23	3.89	0.08	44239500.00	33438750.00	7238234.71	73.34	0.01
1.00	12	[-750.    433.01   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	44239500.00	33438750.00	7841420.93	73.34	0.00
1.00	13	[-250.    433.01   20.  ]	10.00	1	0.00	NaN	45	1	3066000.00	3066000.00	603186.23	5.08	0.10	47305500.00	36504750.00	8444607.16	78.43	0.01
1.00	14	[250.   433.01  20.  ]	10.00	1	0.00	NaN	45	1	13262000.00	13262000.00	603186.23	21.99	0.44	60567500.00	49766750.00	9047793.39	100.41	0.03
1.00	15	[750.   433.01  20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	60567500.00	49766750.00	9650979.61	100.41	0.00
1.00	16	[-500.    866.03   20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	60567500.00	49766750.00	10254165.84	100.41	0.00
1.00	17	[  0.   866.03  20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	60567500.00	49766750.00	10857352.06	100.41	0.00
1.00	18	[500.   866.03  20.  ]	10.00	1	0.00	NaN	45	0	0.00	0.00	603186.23	0.00	0.00	60567500.00	49766750.00	11460538.29	100.41	0.00
2.00	0	[-500.   -866.03   20.  ]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	60567500.00	49766750.00	11701053.19	100.41	0.00
2.00	1	[   0.   -866.03   20.  ]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	60567500.00	49766750.00	11941568.10	100.41	0.00
2.00	2	[ 500.   -866.03   20.  ]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	60567500.00	49766750.00	12182083.00	100.41	0.00
2.00	3	[-750.   -433.01   20.  ]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	60567500.00	49766750.00	12422597.90	100.41	0.00
2.00	4	[-250.   -433.01   20.  ]	10.00	1	0.00	NaN	41	2	9082000.00	4541000.00	240514.90	37.76	0.30	69649500.00	54307750.00	12663112.81	138.17	0.02
2.00	5	[ 250.   -433.01   20.  ]	10.00	1	0.00	NaN	41	1	2344000.00	2344000.00	240514.90	9.75	0.08	71993500.00	56651750.00	12903627.71	147.92	0.01
2.00	6	[ 750.   -433.01   20.  ]	10.00	1	0.00	NaN	41	1	13262000.00	13262000.00	240514.90	55.14	0.44	85255500.00	69913750.00	13144142.62	203.06	0.03
2.00	7	[-1000.     0.    20.]	10.00	1	0.00	NaN	41	1	2344000.00	2344000.00	240514.90	9.75	0.08	87599500.00	72257750.00	13384657.52	212.80	0.01
2.00	8	[-500.    0.   20.]	10.00	1	0.00	NaN	41	1	2344000.00	2344000.00	240514.90	9.75	0.08	89943500.00	74601750.00	13625172.42	222.55	0.01
2.00	9	[ 0.  0. 20.]	10.00	1	0.00	NaN	41	2	12519500.00	6259750.00	240514.90	52.05	0.42	102463000.00	80861500.00	13865687.33	274.60	0.03
2.00	10	[500.   0.  20.]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	102463000.00	80861500.00	14106202.23	274.60	0.00
2.00	11	[1000.    0.   20.]	10.00	1	0.00	NaN	41	1	2344000.00	2344000.00	240514.90	9.75	0.08	104807000.00	83205500.00	14346717.13	284.35	0.01
2.00	12	[-750.    433.01   20.  ]	10.00	1	0.00	NaN	41	0	0.00	0.00	240514.90	0.00	0.00	104807000.00	83205500.00	14587232.04	284.35	0.00
2.00	13	[-250.    433.01   20.  ]	10.00	1	0.00	NaN	41	1	3066000.00	3066000.00	240514.90	12.75	0.10	107873000.00	86271500.00	14827746.94	297.10	0.01
