seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	955614	0	0
0	1	1	[   0.   -866.03   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	1.91123e+06	0	0
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	2.86684e+06	0	0
0	1	3	[-750.   -433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	3.82246e+06	0	0
0	1	4	[-250.   -433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	4.77807e+06	0	0
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	5.73369e+06	0	0
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	0	0	6.6893e+06	0	0
0	1	7	[-1000.     0.    20.]	10	1	0	47	0	0	0	955614	0	0	0	0	7.64492e+06	0	0
0	1	8	[-500.    0.   20.]	10	1	0	47	0	0	0	955614	0	0	0	0	8.60053e+06	0	0
0	1	9	[ 0.  0. 20.]	10	1	0	47	1	1.0273e+07	1.0273e+07	955614	10.7502	0.342433	1.0273e+07	1.0273e+07	9.55614e+06	10.7502	0.0342433
0	1	10	[500.   0.  20.]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.05118e+07	10.7502	0.00342433
0	1	11	[1000.    0.   20.]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.14674e+07	10.7502	0.000342433
0	1	12	[-750.    433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.2423e+07	10.7502	3.42433e-05
0	1	13	[-250.    433.01   20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.33786e+07	10.7502	3.42433e-06
0	1	14	[250.   433.01  20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.43342e+07	10.7502	3.42433e-07
0	1	15	[750.   433.01  20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.52898e+07	10.7502	3.42433e-08
0	1	16	[-500.    866.03   20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.62454e+07	10.7502	3.42433e-09
0	1	17	[  0.   866.03  20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.72011e+07	10.7502	3.42433e-10
0	1	18	[500.   866.03  20.  ]	10	1	0	47	0	0	0	955614	0	0	1.0273e+07	1.0273e+07	1.81567e+07	10.7502	3.42433e-11
0	2	0	[-500.   -866.03   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	1.87599e+07	10.7502	3.42433e-12
0	2	1	[   0.   -866.03   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	1.9363e+07	10.7502	3.42433e-13
0	2	2	[ 500.   -866.03   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	1.99662e+07	10.7502	3.42433e-14
0	2	3	[-750.   -433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.05694e+07	10.7502	3.42433e-15
0	2	4	[-250.   -433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.11726e+07	10.7502	3.42433e-16
0	2	5	[ 250.   -433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.17758e+07	10.7502	3.42433e-17
0	2	6	[ 750.   -433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.2379e+07	10.7502	3.42433e-18
0	2	7	[-1000.     0.    20.]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.29822e+07	10.7502	3.42433e-19
0	2	8	[-500.    0.   20.]	10	1	0	45	0	0	0	603186	0	0	1.0273e+07	1.0273e+07	2.35853e+07	10.7502	3.42433e-20
0	2	9	[ 0.  0. 20.]	10	1	0	45	1	1.0273e+07	1.0273e+07	603186	17.0312	0.342433	2.0546e+07	2.0546e+07	2.41885e+07	27.7814	0.0342433
0	2	10	[500.   0.  20.]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.47917e+07	27.7814	0.00342433
0	2	11	[1000.    0.   20.]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.53949e+07	27.7814	0.000342433
0	2	12	[-750.    433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.59981e+07	27.7814	3.42433e-05
0	2	13	[-250.    433.01   20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.66013e+07	27.7814	3.42433e-06
0	2	14	[250.   433.01  20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.72045e+07	27.7814	3.42433e-07
0	2	15	[750.   433.01  20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.78077e+07	27.7814	3.42433e-08
0	2	16	[-500.    866.03   20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.84108e+07	27.7814	3.42433e-09
0	2	17	[  0.   866.03  20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.9014e+07	27.7814	3.42433e-10
0	2	18	[500.   866.03  20.  ]	10	1	0	45	0	0	0	603186	0	0	2.0546e+07	2.0546e+07	2.96172e+07	27.7814	3.42433e-11
0	3	0	[-500.   -866.03   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	2.9998e+07	27.7814	3.42433e-12
0	3	1	[   0.   -866.03   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.03788e+07	27.7814	3.42433e-13
0	3	2	[ 500.   -866.03   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.07597e+07	27.7814	3.42433e-14
0	3	3	[-750.   -433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.11405e+07	27.7814	3.42433e-15
0	3	4	[-250.   -433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.15213e+07	27.7814	3.42433e-16
0	3	5	[ 250.   -433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.19021e+07	27.7814	3.42433e-17
0	3	6	[ 750.   -433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.22829e+07	27.7814	3.42433e-18
0	3	7	[-1000.     0.    20.]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.26638e+07	27.7814	3.42433e-19
0	3	8	[-500.    0.   20.]	10	1	0	43	0	0	0	380819	0	0	2.0546e+07	2.0546e+07	3.30446e+07	27.7814	3.42433e-20
0	3	9	[ 0.  0. 20.]	10	1	0	43	1	1.0273e+07	1.0273e+07	380819	26.9761	0.342433	3.0819e+07	3.0819e+07	3.34254e+07	54.7574	0.0342433
0	3	10	[500.   0.  20.]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.38062e+07	54.7574	0.00342433
0	3	11	[1000.    0.   20.]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.4187e+07	54.7574	0.000342433
0	3	12	[-750.    433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.45679e+07	54.7574	3.42433e-05
0	3	13	[-250.    433.01   20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.49487e+07	54.7574	3.42433e-06
0	3	14	[250.   433.01  20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.53295e+07	54.7574	3.42433e-07
0	3	15	[750.   433.01  20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.57103e+07	54.7574	3.42433e-08
0	3	16	[-500.    866.03   20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.60911e+07	54.7574	3.42433e-09
0	3	17	[  0.   866.03  20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.6472e+07	54.7574	3.42433e-10
0	3	18	[500.   866.03  20.  ]	10	1	0	43	0	0	0	380819	0	0	3.0819e+07	3.0819e+07	3.68528e+07	54.7574	3.42433e-11
0	4	0	[-500.   -866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.70933e+07	54.7574	3.42433e-12
0	4	1	[   0.   -866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.73338e+07	54.7574	3.42433e-13
0	4	2	[ 500.   -866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.75743e+07	54.7574	3.42433e-14
0	4	3	[-750.   -433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.78148e+07	54.7574	3.42433e-15
0	4	4	[-250.   -433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.80553e+07	54.7574	3.42433e-16
0	4	5	[ 250.   -433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.82959e+07	54.7574	3.42433e-17
0	4	6	[ 750.   -433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.85364e+07	54.7574	3.42433e-18
0	4	7	[-1000.     0.    20.]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.87769e+07	54.7574	3.42433e-19
0	4	8	[-500.    0.   20.]	10	1	0	41	0	0	0	240515	0	0	3.0819e+07	3.0819e+07	3.90174e+07	54.7574	3.42433e-20
0	4	9	[ 0.  0. 20.]	10	1	0	41	1	1.0273e+07	1.0273e+07	240515	42.7125	0.342433	4.1092e+07	4.1092e+07	3.92579e+07	97.47	0.0342433
0	4	10	[500.   0.  20.]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	3.94984e+07	97.47	0.00342433
0	4	11	[1000.    0.   20.]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	3.9739e+07	97.47	0.000342433
0	4	12	[-750.    433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	3.99795e+07	97.47	3.42433e-05
0	4	13	[-250.    433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.022e+07	97.47	3.42433e-06
0	4	14	[250.   433.01  20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.04605e+07	97.47	3.42433e-07
0	4	15	[750.   433.01  20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.0701e+07	97.47	3.42433e-08
0	4	16	[-500.    866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.09415e+07	97.47	3.42433e-09
0	4	17	[  0.   866.03  20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.1182e+07	97.47	3.42433e-10
0	4	18	[500.   866.03  20.  ]	10	1	0	41	0	0	0	240515	0	0	4.1092e+07	4.1092e+07	4.14226e+07	97.47	3.42433e-11
