seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[ 0.  0. 20.]	10	1	0	42	1	5.5547e+07	5.5547e+07	302626	183.55	1.85157	5.5547e+07	5.5547e+07	302626	183.55	0.0185157
0	2	0	[ 0.  0. 20.]	10	1	0	41	1	5.5547e+07	5.5547e+07	240515	230.95	1.85157	1.11094e+08	1.11094e+08	543141	414.5	0.0187008
0	3	0	[ 0.  0. 20.]	10	1	0	40	1	5.5547e+07	5.5547e+07	191178	290.551	1.85157	1.66641e+08	1.66641e+08	734319	705.051	0.0187027
0	4	0	[ 0.  0. 20.]	10	1	0	39	1	5.5547e+07	5.5547e+07	151989	365.467	1.85157	2.22188e+08	2.22188e+08	886308	1070.52	0.0187027
0	5	0	[ 0.  0. 20.]	10	1	0	38	1	5.5547e+07	5.5547e+07	120860	459.599	1.85157	2.77735e+08	2.77735e+08	1.00717e+06	1530.12	0.0187027
0	6	0	[ 0.  0. 20.]	10	1	0	37	1	5.5547e+07	5.5547e+07	96132.8	577.815	1.85157	3.33282e+08	3.33282e+08	1.1033e+06	2107.93	0.0187027
0	7	0	[ 0.  0. 20.]	10	1	0	36	1	5.5547e+07	5.5547e+07	76491.6	726.184	1.85157	3.88829e+08	3.88829e+08	1.17979e+06	2834.12	0.0187027
0	8	0	[ 0.  0. 20.]	10	1	0	35	1	5.5547e+07	5.5547e+07	60890	912.251	1.85157	4.44376e+08	4.44376e+08	1.24068e+06	3746.37	0.0187027
0	9	0	[ 0.  0. 20.]	10	1	0	34	1	5.5547e+07	5.5547e+07	48497.3	1145.36	1.85157	4.99923e+08	4.99923e+08	1.28918e+06	4891.73	0.0187027
0	10	0	[ 0.  0. 20.]	10	1	0	33	1	5.5547e+07	5.5547e+07	38653.3	1437.06	1.85157	5.5547e+08	5.5547e+08	1.32783e+06	6328.79	0.0187027
0	11	0	[ 0.  0. 20.]	10	1	0	32	1	5.5547e+07	5.5547e+07	30834	1801.49	1.85157	6.11017e+08	6.11017e+08	1.35867e+06	8130.27	0.0187027
0	12	0	[ 0.  0. 20.]	10	1	0	31	1	5.5547e+07	5.5547e+07	24622.9	2255.91	1.85157	6.66564e+08	6.66564e+08	1.38329e+06	10386.2	0.0187027
0	13	0	[ 0.  0. 20.]	10	1	0	30	1	5.5547e+07	5.5547e+07	19689.2	2821.18	1.85157	7.22111e+08	7.22111e+08	1.40298e+06	13207.4	0.0187027
0	14	0	[ 0.  0. 20.]	10	1	0	29	1	5.5547e+07	5.5547e+07	15770.3	3522.25	1.85157	7.77658e+08	7.77658e+08	1.41875e+06	16729.6	0.0187027
0	15	0	[ 0.  0. 20.]	10	1	0	28	1	5.5547e+07	5.5547e+07	12657.4	4388.51	1.85157	8.33205e+08	8.33205e+08	1.43141e+06	21118.1	0.0187027
0	16	0	[ 0.  0. 20.]	10	1	0	27	1	5.5547e+07	5.5547e+07	10184.7	5453.97	1.85157	8.88752e+08	8.88752e+08	1.44159e+06	26572.1	0.0187027
0	17	0	[ 0.  0. 20.]	10	1	0	26	1	5.5547e+07	5.5547e+07	8220.57	6757.07	1.85157	9.44299e+08	9.44299e+08	1.44981e+06	33329.2	0.0187027
0	18	0	[ 0.  0. 20.]	10	1	0	25	1	5.5547e+07	5.5547e+07	6660.41	8339.87	1.85157	9.99846e+08	9.99846e+08	1.45647e+06	41669	0.0187027
0	19	0	[ 0.  0. 20.]	10	1	0	24	1	5.5547e+07	5.5547e+07	5421.14	10246.4	1.85157	1.05539e+09	1.05539e+09	1.46189e+06	51915.4	0.0187027
0	20	0	[ 0.  0. 20.]	10	1	0	23	1	5.5547e+07	5.5547e+07	4436.74	12519.8	1.85157	1.11094e+09	1.11094e+09	1.46633e+06	64435.2	0.0187027
0	21	0	[ 0.  0. 20.]	10	1	0	22	1	5.5547e+07	5.5547e+07	3654.81	15198.3	1.85157	1.16649e+09	1.16649e+09	1.46999e+06	79633.5	0.0187027
0	22	0	[ 0.  0. 20.]	10	1	0	21	1	5.5547e+07	5.5547e+07	3033.7	18310	1.85157	1.22203e+09	1.22203e+09	1.47302e+06	97943.5	0.0187027
0	23	0	[ 0.  0. 20.]	10	1	0	20	1	5.5547e+07	5.5547e+07	2540.34	21866	1.85157	1.27758e+09	1.27758e+09	1.47556e+06	119810	0.0187027
0	24	0	[ 0.  0. 20.]	10	1	0	19	1	5.5547e+07	5.5547e+07	2148.44	25854.6	1.85157	1.33313e+09	1.33313e+09	1.47771e+06	145664	0.0187027
0	25	0	[ 0.  0. 20.]	10	1	0	18	1	5.5547e+07	5.5547e+07	1837.15	30235.4	1.85157	1.38868e+09	1.38868e+09	1.47954e+06	175900	0.0187027
0	26	0	[ 0.  0. 20.]	10	1	0	17	1	5.5547e+07	5.5547e+07	1589.88	34937.9	1.85157	1.44422e+09	1.44422e+09	1.48113e+06	210837	0.0187027
0	27	0	[ 0.  0. 20.]	10	1	0	16	1	5.5547e+07	5.5547e+07	1393.47	39862.4	1.85157	1.49977e+09	1.49977e+09	1.48253e+06	250700	0.0187027
0	28	0	[ 0.  0. 20.]	10	1	0	15	1	5.5547e+07	5.5547e+07	1237.45	44888.2	1.85157	1.55532e+09	1.55532e+09	1.48377e+06	295588	0.0187027
0	29	0	[ 0.  0. 20.]	10	1	0	14	1	5.5547e+07	5.5547e+07	1113.52	49884	1.85157	1.61086e+09	1.61086e+09	1.48488e+06	345472	0.0187027
0	30	0	[ 0.  0. 20.]	10	1	0	13	1	5.5547e+07	5.5547e+07	1015.08	54721.5	1.85157	1.66641e+09	1.66641e+09	1.48589e+06	400194	0.0187027
0	31	0	[ 0.  0. 20.]	10	1	0	12	1	5.5547e+07	5.5547e+07	936.892	59288.6	1.85157	1.72196e+09	1.72196e+09	1.48683e+06	459482	0.0187027
0	32	0	[ 0.  0. 20.]	10	1	0	11	1	5.5547e+07	5.5547e+07	874.781	63498.2	1.85157	1.7775e+09	1.7775e+09	1.48771e+06	522980	0.0187027
0	33	0	[ 0.  0. 20.]	10	1	0	10	1	5.5547e+07	5.5547e+07	825.444	67293.5	1.85157	1.83305e+09	1.83305e+09	1.48853e+06	590274	0.0187027
0	34	0	[ 0.  0. 20.]	10	1	0	9	1	5.5547e+07	5.5547e+07	786.255	70647.6	1.85157	1.8886e+09	1.8886e+09	1.48932e+06	660921	0.0187027
0	35	0	[ 0.  0. 20.]	10	1	0	8	1	5.5547e+07	5.5547e+07	755.125	73560	1.85157	1.94415e+09	1.94415e+09	1.49007e+06	734481	0.0187027
0	36	0	[ 0.  0. 20.]	10	1	0	7	1	5.1152e+07	5.1152e+07	730.398	70033	1.70507	1.9953e+09	1.9953e+09	1.4908e+06	804514	0.0172377
0	37	0	[ 0.  0. 20.]	10	1	0	6	1	5.1152e+07	5.1152e+07	710.757	71968.3	1.70507	2.04645e+09	2.04645e+09	1.49151e+06	876483	0.017223
0	38	0	[ 0.  0. 20.]	10	1	0	5	1	5.1152e+07	5.1152e+07	695.156	73583.5	1.70507	2.0976e+09	2.0976e+09	1.49221e+06	950066	0.0172229
0	39	0	[ 0.  0. 20.]	10	1	0	4	1	5.1152e+07	5.1152e+07	682.763	74919.1	1.70507	2.14875e+09	2.14875e+09	1.49289e+06	1.02499e+06	0.0172229
0	40	0	[ 0.  0. 20.]	10	1	0	3	1	5.1152e+07	5.1152e+07	672.919	76015.1	1.70507	2.19990e+09	2.19990e+09	1.49356e+06	1.101e+06	0.0172229
0	41	0	[ 0.  0. 20.]	10	1	0	2	1	4.5234e+07	4.5234e+07	665.1	68010.9	1.5078	2.24514e+09	2.24514e+09	1.49423e+06	1.16901e+06	0.0152502
0	42	0	[ 0.  0. 20.]	10	1	0	1	1	4.5234e+07	4.5234e+07	658.889	68652	1.5078	2.29037e+09	2.29037e+09	1.49489e+06	1.23766e+06	0.0152305
0	43	0	[ 0.  0. 20.]	10	1	0	0	1	4.5234e+07	4.5234e+07	653.955	69169.9	1.5078	2.33561e+09	2.33561e+09	1.49554e+06	1.30683e+06	0.0152303
0	44	0	[ 0.  0. 20.]	10	1	0	0	1	4.5234e+07	4.5234e+07	653.955	69169.9	1.5078	2.38084e+09	2.38084e+09	1.4962e+06	1.376e+06	0.0152303
0	45	0	[ 0.  0. 20.]	10	1	0	0	1	4.5234e+07	4.5234e+07	653.955	69169.9	1.5078	2.42608e+09	2.42608e+09	1.49685e+06	1.44517e+06	0.0152303
0	46	0	[ 0.  0. 20.]	10	1	0	0	1	4.5234e+07	4.5234e+07	653.955	69169.9	1.5078	2.47131e+09	2.47131e+09	1.4975e+06	1.51434e+06	0.0152303
0	47	0	[ 0.  0. 20.]	10	1	0	0	1	4.5234e+07	4.5234e+07	653.955	69169.9	1.5078	2.51654e+09	2.51654e+09	1.49816e+06	1.58351e+06	0.0152303
