seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	151989	0	0
0	1	1	[   0.   -866.03   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	303978	0	0
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	455967	0	0
0	1	3	[-750.   -433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	607956	0	0
0	1	4	[-250.   -433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	759945	0	0
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	911934	0	0
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	0	0	1.06392e+06	0	0
0	1	7	[-1000.     0.    20.]	10	1	0	39	0	0	0	151989	0	0	0	0	1.21591e+06	0	0
0	1	8	[-500.    0.   20.]	10	1	0	39	0	0	0	151989	0	0	0	0	1.3679e+06	0	0
0	1	9	[ 0.  0. 20.]	10	1	0	39	0	0	0	151989	0	0	0	0	1.51989e+06	0	0
0	1	10	[500.   0.  20.]	10	1	0	39	0	0	0	151989	0	0	0	0	1.67188e+06	0	0
0	1	11	[1000.    0.   20.]	10	1	0	39	1	2.344e+06	2.344e+06	151989	15.4222	0.0781333	2.344e+06	2.344e+06	1.82387e+06	15.4222	0.00601026
0	1	12	[-750.    433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	1.97586e+06	15.4222	0.000462327
0	1	13	[-250.    433.01   20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.12785e+06	15.4222	3.55636e-05
0	1	14	[250.   433.01  20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.27983e+06	15.4222	2.73567e-06
0	1	15	[750.   433.01  20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.43182e+06	15.4222	2.10436e-07
0	1	16	[-500.    866.03   20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.58381e+06	15.4222	1.61874e-08
0	1	17	[  0.   866.03  20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.7358e+06	15.4222	1.24518e-09
0	1	18	[500.   866.03  20.  ]	10	1	0	39	0	0	0	151989	0	0	2.344e+06	2.344e+06	2.88779e+06	15.4222	9.57832e-11
0	2	0	[-500.   -866.03   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	2.94868e+06	15.4222	7.36794e-12
0	2	1	[   0.   -866.03   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.00957e+06	15.4222	5.66765e-13
0	2	2	[ 500.   -866.03   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.07046e+06	15.4222	4.35973e-14
0	2	3	[-750.   -433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.13135e+06	15.4222	3.35364e-15
0	2	4	[-250.   -433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.19224e+06	15.4222	2.57972e-16
0	2	5	[ 250.   -433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.25313e+06	15.4222	1.9844e-17
0	2	6	[ 750.   -433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.31402e+06	15.4222	1.52646e-18
0	2	7	[-1000.     0.    20.]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.37491e+06	15.4222	1.1742e-19
0	2	8	[-500.    0.   20.]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.4358e+06	15.4222	9.03232e-21
0	2	9	[ 0.  0. 20.]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.49669e+06	15.4222	6.94794e-22
0	2	10	[500.   0.  20.]	10	1	0	35	0	0	0	60890	0	0	2.344e+06	2.344e+06	3.55758e+06	15.4222	5.34457e-23
0	2	11	[1000.    0.   20.]	10	1	0	35	1	2.344e+06	2.344e+06	60890	38.4956	0.0781333	4.688e+06	4.688e+06	3.61847e+06	53.9178	0.00601026
0	2	12	[-750.    433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.67936e+06	53.9178	0.000462327
0	2	13	[-250.    433.01   20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.74025e+06	53.9178	3.55636e-05
0	2	14	[250.   433.01  20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.80114e+06	53.9178	2.73567e-06
0	2	15	[750.   433.01  20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.86203e+06	53.9178	2.10436e-07
0	2	16	[-500.    866.03   20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.92292e+06	53.9178	1.61874e-08
0	2	17	[  0.   866.03  20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	3.98381e+06	53.9178	1.24518e-09
0	2	18	[500.   866.03  20.  ]	10	1	0	35	0	0	0	60890	0	0	4.688e+06	4.688e+06	4.0447e+06	53.9178	9.57832e-11
0	3	0	[-500.   -866.03   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.06932e+06	53.9178	7.36794e-12
0	3	1	[   0.   -866.03   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.09395e+06	53.9178	5.66765e-13
0	3	2	[ 500.   -866.03   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.11857e+06	53.9178	4.35973e-14
0	3	3	[-750.   -433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.14319e+06	53.9178	3.35364e-15
0	3	4	[-250.   -433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.16782e+06	53.9178	2.57972e-16
0	3	5	[ 250.   -433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.19244e+06	53.9178	1.9844e-17
0	3	6	[ 750.   -433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.21706e+06	53.9178	1.52646e-18
0	3	7	[-1000.     0.    20.]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.24168e+06	53.9178	1.1742e-19
0	3	8	[-500.    0.   20.]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.26631e+06	53.9178	9.03232e-21
0	3	9	[ 0.  0. 20.]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.29093e+06	53.9178	6.94794e-22
0	3	10	[500.   0.  20.]	10	1	0	31	0	0	0	24622.9	0	0	4.688e+06	4.688e+06	4.31555e+06	53.9178	5.34457e-23
0	3	11	[1000.    0.   20.]	10	1	0	31	1	2.344e+06	2.344e+06	24622.9	95.1959	0.0781333	7.032e+06	7.032e+06	4.34018e+06	149.114	0.00601026
0	3	12	[-750.    433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.3648e+06	149.114	0.000462327
0	3	13	[-250.    433.01   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.38942e+06	149.114	3.55636e-05
0	3	14	[250.   433.01  20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.41404e+06	149.114	2.73567e-06
0	3	15	[750.   433.01  20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.43867e+06	149.114	2.10436e-07
0	3	16	[-500.    866.03   20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.46329e+06	149.114	1.61874e-08
0	3	17	[  0.   866.03  20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.48791e+06	149.114	1.24518e-09
0	3	18	[500.   866.03  20.  ]	10	1	0	31	0	0	0	24622.9	0	0	7.032e+06	7.032e+06	4.51254e+06	149.114	9.57832e-11
0	4	0	[-500.   -866.03   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.52272e+06	149.114	7.36794e-12
0	4	1	[   0.   -866.03   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.53291e+06	149.114	5.66765e-13
0	4	2	[ 500.   -866.03   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.54309e+06	149.114	4.35973e-14
0	4	3	[-750.   -433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.55327e+06	149.114	3.35364e-15
0	4	4	[-250.   -433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.56346e+06	149.114	2.57972e-16
0	4	5	[ 250.   -433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.57364e+06	149.114	1.9844e-17
0	4	6	[ 750.   -433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.58383e+06	149.114	1.52646e-18
0	4	7	[-1000.     0.    20.]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.59401e+06	149.114	1.1742e-19
0	4	8	[-500.    0.   20.]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.6042e+06	149.114	9.03232e-21
0	4	9	[ 0.  0. 20.]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.61438e+06	149.114	6.94794e-22
0	4	10	[500.   0.  20.]	10	1	0	27	0	0	0	10184.7	0	0	7.032e+06	7.032e+06	4.62457e+06	149.114	5.34457e-23
0	4	11	[1000.    0.   20.]	10	1	0	27	1	2.344e+06	2.344e+06	10184.7	230.149	0.0781333	9.376e+06	9.376e+06	4.63475e+06	379.263	0.00601026
0	4	12	[-750.    433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.64494e+06	379.263	0.000462327
0	4	13	[-250.    433.01   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.65512e+06	379.263	3.55636e-05
0	4	14	[250.   433.01  20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.66531e+06	379.263	2.73567e-06
0	4	15	[750.   433.01  20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.67549e+06	379.263	2.10436e-07
0	4	16	[-500.    866.03   20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.68568e+06	379.263	1.61874e-08
0	4	17	[  0.   866.03  20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.69586e+06	379.263	1.24518e-09
0	4	18	[500.   866.03  20.  ]	10	1	0	27	0	0	0	10184.7	0	0	9.376e+06	9.376e+06	4.70605e+06	379.263	9.57832e-11
0	5	0	[-500.   -866.03   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.71147e+06	379.263	7.36794e-12
0	5	1	[   0.   -866.03   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.71689e+06	379.263	5.66765e-13
0	5	2	[ 500.   -866.03   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.72231e+06	379.263	4.35973e-14
0	5	3	[-750.   -433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.72773e+06	379.263	3.35364e-15
0	5	4	[-250.   -433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.73315e+06	379.263	2.57972e-16
0	5	5	[ 250.   -433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.73857e+06	379.263	1.9844e-17
0	5	6	[ 750.   -433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.74399e+06	379.263	1.52646e-18
0	5	7	[-1000.     0.    20.]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.74941e+06	379.263	1.1742e-19
0	5	8	[-500.    0.   20.]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.75484e+06	379.263	9.03232e-21
0	5	9	[ 0.  0. 20.]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.76026e+06	379.263	6.94794e-22
0	5	10	[500.   0.  20.]	10	1	0	24	0	0	0	5421.14	0	0	9.376e+06	9.376e+06	4.76568e+06	379.263	5.34457e-23
0	5	11	[1000.    0.   20.]	10	1	0	24	1	2.344e+06	2.344e+06	5421.14	432.382	0.0781333	1.172e+07	1.172e+07	4.7711e+06	811.645	0.00601026
0	5	12	[-750.    433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.77652e+06	811.645	0.000462327
0	5	13	[-250.    433.01   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.78194e+06	811.645	3.55636e-05
0	5	14	[250.   433.01  20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.78736e+06	811.645	2.73567e-06
0	5	15	[750.   433.01  20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.79278e+06	811.645	2.10436e-07
0	5	16	[-500.    866.03   20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.7982e+06	811.645	1.61874e-08
0	5	17	[  0.   866.03  20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.80363e+06	811.645	1.24518e-09
0	5	18	[500.   866.03  20.  ]	10	1	0	24	0	0	0	5421.14	0	0	1.172e+07	1.172e+07	4.80905e+06	811.645	9.57832e-11
0	6	0	[-500.   -866.03   20.  ]	10	1	0	21	0	0	0	3033.7	0	0	1.172e+07	1.172e+07	4.81208e+06	811.645	7.36794e-12
0	6	1	[   0.   -866.03   20.  ]	10	1	0	21	0	0	0	3033.7	0	0	1.172e+07	1.172e+07	4.81511e+06	811.645	5.66765e-13
0	6	2	[ 500.   -866.03   20.  ]	10	1	0	21	0	0	0	3033.7	0	0	1.172e+07	1.172e+07	4.81815e+06	811.645	4.35973e-14
0	6	3	[-750.   -433.01   20.  ]	10	1	0	21	0	0	0	3033.7	0	0	1.172e+07	1.172e+07	4.82118e+06	811.645	3.35364e-15
