seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	42	0	0	0	302626	0	0	0	0	302626	0	0
0	1	1	[   0.   -866.03   20.  ]	10	1	0	42	0	0	0	302626	0	0	0	0	605252	0	0
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	42	1	2.344e+06	2.344e+06	302626	7.74554	0.0781333	2.344e+06	2.344e+06	907878	7.74554	0.00601026
0	1	3	[-750.   -433.01   20.  ]	10	1	0	42	1	4.902e+06	4.902e+06	302626	16.1982	0.1634	7.246e+06	7.246e+06	1.2105e+06	23.9438	0.0130316
0	1	4	[-250.   -433.01   20.  ]	10	1	0	42	1	3.066e+06	3.066e+06	302626	10.1313	0.1022	1.0312e+07	1.0312e+07	1.51313e+06	34.0751	0.00886397
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	42	2	5.166e+06	5.166e+06	302626	17.0706	0.1722	1.5478e+07	1.5478e+07	1.81576e+06	51.1456	0.013928
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	42	1	2.1602e+07	2.1602e+07	302626	71.3819	0.720067	3.708e+07	3.708e+07	2.11838e+06	122.528	0.0564611
0	1	7	[-1000.     0.    20.]	10	1	0	42	0	0	0	302626	0	0	3.708e+07	3.708e+07	2.42101e+06	122.528	0.00434316
0	1	8	[-500.    0.   20.]	10	1	0	42	1	3.066e+06	3.066e+06	302626	10.1313	0.1022	4.0146e+07	4.0146e+07	2.72363e+06	132.659	0.00819563
0	1	9	[ 0.  0. 20.]	10	1	0	42	2	2.451e+06	2.451e+06	302626	8.09911	0.0817	4.2597e+07	4.2597e+07	3.02626e+06	140.758	0.00691505
0	1	10	[500.   0.  20.]	10	1	0	42	0	0	0	302626	0	0	4.2597e+07	4.2597e+07	3.32889e+06	140.758	0.000531927
0	1	11	[1000.    0.   20.]	10	1	0	42	2	3.076e+06	3.076e+06	302626	10.1644	0.102533	4.5673e+07	4.5673e+07	3.63151e+06	150.922	0.0079281
0	1	12	[-750.    433.01   20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	3.93414e+06	150.922	0.000609854
0	1	13	[-250.    433.01   20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	4.23676e+06	150.922	4.69118e-05
0	1	14	[250.   433.01  20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	4.53939e+06	150.922	3.6086e-06
0	1	15	[750.   433.01  20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	4.84201e+06	150.922	2.77585e-07
0	1	16	[-500.    866.03   20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	5.14464e+06	150.922	2.13527e-08
0	1	17	[  0.   866.03  20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	5.44727e+06	150.922	1.64251e-09
0	1	18	[500.   866.03  20.  ]	10	1	0	42	0	0	0	302626	0	0	4.5673e+07	4.5673e+07	5.74989e+06	150.922	1.26347e-10
0	2	0	[-500.   -866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	4.5673e+07	4.5673e+07	5.99041e+06	150.922	9.71901e-12
0	2	1	[   0.   -866.03   20.  ]	10	1	0	41	0	0	0	240515	0	0	4.5673e+07	4.5673e+07	6.23092e+06	150.922	7.47616e-13
0	2	2	[ 500.   -866.03   20.  ]	10	1	0	41	1	2.344e+06	2.344e+06	240515	9.74576	0.0781333	4.8017e+07	4.8017e+07	6.47144e+06	160.668	0.00601026
0	2	3	[-750.   -433.01   20.  ]	10	1	0	41	1	4.902e+06	4.902e+06	240515	20.3813	0.1634	5.2919e+07	5.2919e+07	6.71195e+06	181.049	0.0130316
0	2	4	[-250.   -433.01   20.  ]	10	1	0	41	1	3.066e+06	3.066e+06	240515	12.7477	0.1022	5.5985e+07	5.5985e+07	6.95247e+06	193.797	0.00886397
0	2	5	[ 250.   -433.01   20.  ]	10	1	0	41	2	5.166e+06	5.166e+06	240515	21.4789	0.1722	6.1151e+07	6.1151e+07	7.19298e+06	215.276	0.013928
0	2	6	[ 750.   -433.01   20.  ]	10	1	0	41	1	2.1602e+07	2.1602e+07	240515	89.8156	0.720067	8.2753e+07	8.2753e+07	7.4335e+06	305.092	0.0564611
0	2	7	[-1000.     0.    20.]	10	1	0	41	0	0	0	240515	0	0	8.2753e+07	8.2753e+07	7.67401e+06	305.092	0.00434316
0	2	8	[-500.    0.   20.]	10	1	0	41	1	3.066e+06	3.066e+06	240515	12.7477	0.1022	8.5819e+07	8.5819e+07	7.91453e+06	317.839	0.00819563
0	2	9	[ 0.  0. 20.]	10	1	0	41	2	2.451e+06	2.451e+06	240515	10.1906	0.0817	8.827e+07	8.827e+07	8.15504e+06	328.03	0.00691505
0	2	10	[500.   0.  20.]	10	1	0	41	0	0	0	240515	0	0	8.827e+07	8.827e+07	8.39556e+06	328.03	0.000531927
0	2	11	[1000.    0.   20.]	10	1	0	41	2	3.076e+06	3.076e+06	240515	12.7892	0.102533	9.1346e+07	9.1346e+07	8.63607e+06	340.819	0.0079281
0	2	12	[-750.    433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	9.1346e+07	9.1346e+07	8.87659e+06	340.819	0.000609854
0	2	13	[-250.    433.01   20.  ]	10	1	0	41	0	0	0	240515	0	0	9.1346e+07	9.1346e+07	9.1171e+06	340.819	4.69118e-05
0	2	14	[250.   433.01  20.  ]	10	1	0	41	0	0	0	240515	0	0	9.1346e+07	9.1346e+07	9.35762e+06	340.819	3.6086e-06
