seed	time	cell_id	cell_xyz	cell_bw_MHz	subbands	MIMO_gain	cell_dBm	n_UEs	tp_agg_bits	tp_avg_bits	cell_ec_now	cell_ee_now	cell_avg_se_now	cell_tp_agg_bits_cum	cell_tp_avg_bits_cum	cell_ec_cum	cell_ee_cum	cell_avg_se_overall
0	1	0	[-500.   -866.03   20.  ]	10	1	0	44	3	1.1647e+07	3.88233e+06	479258	24.3021	0.388233	1.1647e+07	3.88233e+06	479258	24.3021	0.0388233
0	1	1	[   0.   -866.03   20.  ]	10	1	0	44	5	1.23084e+07	2.46168e+06	479258	25.6822	0.41028	2.39554e+07	6.34401e+06	958517	49.9843	0.0449103
0	1	2	[ 500.   -866.03   20.  ]	10	1	0	44	5	6.609e+06	1.3218e+06	479258	13.7901	0.2203	3.05644e+07	7.66581e+06	1.43778e+06	63.7744	0.026521
0	1	3	[-750.   -433.01   20.  ]	10	1	0	44	6	7.42183e+06	1.23697e+06	479258	15.4861	0.247394	3.79862e+07	8.90279e+06	1.91703e+06	79.2604	0.0273915
0	1	4	[-250.   -433.01   20.  ]	10	1	0	44	8	7.12888e+06	891109	479258	14.8748	0.237629	4.51151e+07	9.79389e+06	2.39629e+06	94.1352	0.0265021
0	1	5	[ 250.   -433.01   20.  ]	10	1	0	44	4	9.9705e+06	2.49262e+06	479258	20.804	0.33235	5.50856e+07	1.22865e+07	2.87555e+06	114.939	0.0358852
0	1	6	[ 750.   -433.01   20.  ]	10	1	0	44	13	1.07692e+07	828396	479258	22.4705	0.358972	6.58548e+07	1.31149e+07	3.35481e+06	137.41	0.0394857
0	1	7	[-1000.     0.    20.]	10	1	0	44	3	1.528e+07	5.09333e+06	479258	31.8826	0.509333	8.11348e+07	1.82082e+07	3.83407e+06	169.292	0.0548819
0	1	8	[-500.    0.   20.]	10	1	0	44	5	5.828e+06	1.1656e+06	479258	12.1605	0.194267	8.69628e+07	1.93738e+07	4.31333e+06	181.453	0.0249149
0	1	9	[ 0.  0. 20.]	10	1	0	44	9	6.263e+06	695889	479258	13.0681	0.208767	9.32258e+07	2.00697e+07	4.79258e+06	194.521	0.0233682
0	1	10	[500.   0.  20.]	10	1	0	44	9	9.29033e+06	1.03226e+06	479258	19.3848	0.309678	1.02516e+08	2.1102e+07	5.27184e+06	213.906	0.0333046
0	1	11	[1000.    0.   20.]	10	1	0	44	3	9.62267e+06	3.20756e+06	479258	20.0782	0.320756	1.12139e+08	2.43096e+07	5.7511e+06	233.984	0.035406
0	1	12	[-750.    433.01   20.  ]	10	1	0	44	7	1.26843e+07	1.81204e+06	479258	26.4665	0.42281	1.24823e+08	2.61216e+07	6.23036e+06	260.45	0.0458216
